AC008770	RNA5SP464
AC008770	RNA5SP465
AC008770	ZNF433
AC008770	ZNF433-AS1
AC008770	ZNF439
AC008770	ZNF69
AC008770	ZNF700
AC008770	ZNF763
AC023509	ATF7
AC023509	ATF7-NPFF
AC023509	MAP3K12
AC023509	NPFF
AC023509	PCBP2
AC023509	PCBP2-OT1
AC023509	TARBP2
AC092835	MRPS5
AC092835	SLC2AXP1
AC092835	ZNF2
AC092835	ZNF514
AC092835	ZNF892
AC138696	GLI4
AC138696	MINCR
AC138696	ZFP41
AC138696	ZNF696
AC008770	RNA5SP464
AC008770	RNA5SP465
AC008770	ZNF433
AC008770	ZNF433-AS1
AC008770	ZNF439
AC008770	ZNF69
AC008770	ZNF700
AC008770	ZNF763
AC023509	ATF7
AC023509	ATF7-NPFF
AC023509	MAP3K12
AC023509	NPFF
AC023509	PCBP2
AC023509	PCBP2-OT1
AC023509	TARBP2
AC092835	MRPS5
AC092835	SLC2AXP1
AC092835	ZNF2
AC092835	ZNF514
AC092835	ZNF892
AC138696	GLI4
AC138696	MINCR
AC138696	ZFP41
AC138696	ZNF696
AC008770	RNA5SP464
AC008770	RNA5SP465
AC008770	ZNF433
AC008770	ZNF433-AS1
AC008770	ZNF439
AC008770	ZNF69
AC008770	ZNF700
AC008770	ZNF763
AC023509	ATF7
AC023509	ATF7-NPFF
AC023509	MAP3K12
AC023509	NPFF
AC023509	PCBP2
AC023509	PCBP2-OT1
AC023509	TARBP2
AC092835	MRPS5
AC092835	SLC2AXP1
AC092835	ZNF2
AC092835	ZNF514
AC092835	ZNF892
AC138696	GLI4
AC138696	MINCR
AC138696	ZFP41
AC138696	ZNF696
