name	is_canonical
AARSL	False
AARSP1	False
AASD-PPT	False
AASDH	True
AASDHPPT	True
AASS	True
AAT	False
AAT-1	False
AAT1	False
AAT1alpha	False
AATBC	True
AATF	True
AATK	True
AATK-AS1	False
AATYK	False
AATYK1	False
AATYK2	False
AATYK3	False
AAV	True
AAVR	False
AAVS1	False
AB-DIP	False
AB014085.4	False
AB023048.2	False
AB023051.1	False
AB023060.6	False
AB073614	False
ABAD	False
ABALON	True
ABAT	True
ABBA	False
ABBA-1	False
ABBP1	False
ABC-C	False
ABC1	False
ABC16	False
ABC2	False
ABC20	False
ABC28	False
ABC3	False
ABC35	False
ABC36	False
ABC50	False
ABC7	False
ABC8	False
ABCA1	True
ABCA10	True
ABCA11	False
ABCA11P	True
ABCA12	True
ABCA13	True
ABCA15P	True
ABCA17P	True
ABCA2	True
ABCA3	True
ABCA3P1	True
ABCA4	True
ABCA5	True
ABCA6	True
ABCA7	True
ABCA8	True
ABCA9	True
ABCA9-AS1	True
ABCB1	True
ABCB10	True
ABCB10P	False
ABCB10P1	True
ABCB10P2	False
ABCB10P3	True
ABCB10P4	True
ABCB11	True
ABCB2	True
ABCB3	True
ABCB4	True
ABCB5	True
ABCB5alpha	False
ABCB5beta	False
ABCB6	True
ABCB7	True
ABCB8	True
ABCB9	True
ABCC1	True
ABCC10	True
ABCC11	True
ABCC12	True
ABCC13	True
ABCC13P	False
ABCC2	True
ABCC3	True
ABCC4	True
ABCC5	True
ABCC5-AS1	True
ABCC6	True
ABCC6P1	True
ABCC6P2	True
ABCC7	False
ABCC8	True
ABCC9	True
ABCD-1	False
ABCD-2	False
ABCD-3	False
ABCD1	True
ABCD1P1	True
ABCD1P2	True
ABCD1P3	True
ABCD1P4	True
ABCD1P5	True
ABCD2	True
ABCD3	True
ABCD4	True
ABCE1	True
ABCF1	True
ABCF1-DT	True
ABCF2	True
ABCF2-H2BE1	False
ABCF2-H2BK1	True
ABCF2P1	True
ABCF2P2	True
ABCF3	True
ABCG1	True
ABCG2	True
ABCG4	True
ABCG5	True
ABCG8	True
ABCP	False
ABCR	False
ABCX	False
ABDH19	False
ABF-1	False
ABH	False
ABH2	False
ABHD1	True
ABHD10	True
ABHD11	True
ABHD11-AS1	False
ABHD11-AS2	True
ABHD12	True
ABHD12A	False
ABHD12B	True
ABHD13	True
ABHD14A	True
ABHD14A-ACY1	True
ABHD14B	True
ABHD15	True
ABHD15-AS1	True
ABHD16A	True
ABHD16B	True
ABHD17A	True
ABHD17AP1	True
